@RELATION train_kademe6

@ATTRIBUTE il {Adiyaman,Agri,Ardahan,Batman,Bingol,Bitlis,Diyarbakir,Gumushane,Igdir,Kars,Mardin,Mus,Siirt,Sirnak,Van,bilinmiyor}
@ATTRIBUTE ilce {Artuklu,Baglar,Besni,Derik,Dogubayazit,Edremit,Ercis,Ergani,Gevas,Golbasi,Hamur,Ipekyolu,Kahta,Kayapinar,Kelkit,Kiziltepe,Kurtun,Merkez,Midyat,Nusaybin,Sarikamis,Silvan,Siran,Sur,Tatvan,Torul,Tusba,Yenisehir,bilinmiyor}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0,11_15_arasi,16_20_arasi,1_5_arasi,21_25_arasi,26_30_arasi,31_ve_uzeri,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,10,11,12,13,14,18,2,3,4,5,6,7,8,9,Ara_Kat,Bahce,Bodrum,En_Ust_Kat,Giris,Kot_1,Kot_2,Kot_3,Villa_Kati,Yuksek_Giris,Zemin,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Gunes_Enerjisi,Kat_Kaloriferi,Klima,Kombi,Kombi_Dogalgaz,Merkezi,Soba,Yerden_Isitma,bilinmiyor,isitma_yok,isitma_yok_komur_odun}
@ATTRIBUTE mutfak_raw {Kiler,bilinmiyor,tasarimi.}
@ATTRIBUTE mutfak_acik_mi {yok,var}
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE Bati {yok,var}
@ATTRIBUTE Dogu {yok,var}
@ATTRIBUTE Guney {yok,var}
@ATTRIBUTE Kuzey {yok,var}
@ATTRIBUTE Akilli_Ev {yok,var}
@ATTRIBUTE Celik_Kapi {yok,var}
@ATTRIBUTE Ebeveyn_Banyosu {yok,var}
@ATTRIBUTE Fiber_Internet {yok,var}
@ATTRIBUTE Isicam {yok,var}
@ATTRIBUTE Somine {yok,var}
@ATTRIBUTE Isi_Yalitimi {yok,var}
@ATTRIBUTE Mustakil_Havuzlu {yok,var}
@ATTRIBUTE Ses_Yalitimi {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Acik {yok,var}
@ATTRIBUTE Yuzme_Havuzu_Kapali {yok,var}
@ATTRIBUTE Bogaz {yok,var}
@ATTRIBUTE Deniz {yok,var}
@ATTRIBUTE Doga {yok,var}
@ATTRIBUTE Gol {yok,var}
@ATTRIBUTE Nehir {yok,var}
@ATTRIBUTE Sehir {yok,var}
@ATTRIBUTE Dubleks {yok,var}
@ATTRIBUTE Bahce_Dubleksi {yok,var}
@ATTRIBUTE Cati_Dubleksi {yok,var}
@ATTRIBUTE Tripleks {yok,var}
@ATTRIBUTE sege_kademe {bilinmiyor,kademe_6}
@ATTRIBUTE salon_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE mutfak_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE banyo_kalitesi {bilinmiyor,iyi,kotu,normal}
@ATTRIBUTE metrekare_kategori {0_50_m2,100_125_m2,125_150_m2,150_200_m2,200_300_m2,300_m2_ve_ustu,50_75_m2,75_100_m2,bilinmiyor}
@ATTRIBUTE oda_kategori {1_oda,2_oda,3_oda,4_oda,5_oda,6_oda,7_oda_ve_ustu,bilinmiyor}
@ATTRIBUTE kat_sayisi_kategori {alcak_1_3_kat,bilinmiyor,cok_yuksek_16_ustu_kat,orta_4_7_kat,yuksek_8_15_kat}
@ATTRIBUTE banyo_kategori {1_banyo,2_banyo,3_banyo_ve_ustu,bilinmiyor}
@ATTRIBUTE guvenlik_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE luks_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE sosyal_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE ulasim_kategori {bilinmiyor,dusuk,orta,yok}
@ATTRIBUTE cevre_yakinlik_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE ic_konfor_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE engelli_kategori {bilinmiyor,dusuk,orta,yok,yuksek}
@ATTRIBUTE fiyat_kategorisi {10_Milyon_TL_Ustu,1_5_2_Milyon_TL_Arasi,1_5_Milyon_TL_Alti,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Diyarbakir,Kayapinar,Satilik,6_10_arasi,1,bilinmiyor,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,5_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Mardin,Kiziltepe,Satilik,11_15_arasi,1,bilinmiyor,bilinmiyor,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,100_125_m2,4_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Diyarbakir,Yenisehir,Satilik,11_15_arasi,2,Kombi,bilinmiyor,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,75_100_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,0,7,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,kademe_6,normal,normal,bilinmiyor,300_m2_ve_ustu,6_oda,yuksek_8_15_kat,3_banyo_ve_ustu,yok,yok,yok,yok,yok,yok,yok,3_4_Milyon_TL_Arasi
Adiyaman,Merkez,Satilik,0,5,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,kotu,150_200_m2,4_oda,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,6_10_arasi,4,Kombi,bilinmiyor,yok,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,bilinmiyor,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,1_5_2_Milyon_TL_Arasi
Mardin,Midyat,Satilik,1_5_arasi,En_Ust_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,yok,var,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_6,iyi,normal,bilinmiyor,125_150_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,orta,yuksek,yuksek,yok,3_4_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,6_10_arasi,5,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,kademe_6,normal,bilinmiyor,bilinmiyor,150_200_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,dusuk,dusuk,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,0,8,Kombi,bilinmiyor,yok,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_6,kotu,bilinmiyor,iyi,75_100_m2,3_oda,cok_yuksek_16_ustu_kat,1_banyo,dusuk,yok,yok,dusuk,orta,orta,yok,2_3_Milyon_TL_Arasi
Diyarbakir,Yenisehir,Satilik,1_5_arasi,13,Yerden_Isitma,bilinmiyor,yok,var,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,1_5_arasi,4,Kombi,bilinmiyor,yok,var,var,yok,yok,var,yok,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,bilinmiyor,normal,bilinmiyor,200_300_m2,5_oda,yuksek_8_15_kat,2_banyo,dusuk,dusuk,dusuk,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Adiyaman,Merkez,Satilik,0,Yuksek_Giris,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,normal,kotu,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,yok,yok,3_4_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,1_5_arasi,5,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,var,yok,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,kotu,normal,iyi,50_75_m2,2_oda,orta_4_7_kat,1_banyo,orta,yok,yok,dusuk,orta,yuksek,dusuk,1_5_2_Milyon_TL_Arasi
Batman,Merkez,Satilik,0,2,Yerden_Isitma,bilinmiyor,yok,var,yok,var,yok,var,yok,var,yok,yok,var,var,yok,var,yok,yok,yok,yok,var,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_6,iyi,bilinmiyor,iyi,150_200_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,dusuk,dusuk,dusuk,yuksek,yuksek,yok,7_Bucuk_10_Milyon_TL_Arasi
Van,Edremit,Satilik,0,Bahce,Yerden_Isitma,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,var,yok,yok,yok,var,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,300_m2_ve_ustu,6_oda,orta_4_7_kat,3_banyo_ve_ustu,dusuk,dusuk,yok,orta,orta,yuksek,yok,10_Milyon_TL_Ustu
Mardin,Artuklu,Satilik,6_10_arasi,5,Kombi,bilinmiyor,yok,var,yok,var,yok,yok,var,yok,var,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_6,iyi,bilinmiyor,kotu,200_300_m2,5_oda,yuksek_8_15_kat,2_banyo,dusuk,yok,dusuk,dusuk,orta,yuksek,yok,4_5_Milyon_TL_Arasi
Gumushane,Merkez,Satilik,11_15_arasi,Ara_Kat,Kombi_Dogalgaz,bilinmiyor,yok,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,normal,bilinmiyor,100_125_m2,3_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,4_5_Milyon_TL_Arasi
Mardin,Kiziltepe,Satilik,1_5_arasi,1,bilinmiyor,bilinmiyor,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,200_300_m2,5_oda,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,0,5,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,iyi,bilinmiyor,normal,150_200_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,dusuk,orta,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Igdir,Merkez,Satilik,21_25_arasi,6,Kombi,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,normal,iyi,125_150_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,0,Bodrum,Kombi,bilinmiyor,yok,var,var,yok,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,normal,bilinmiyor,50_75_m2,2_oda,yuksek_8_15_kat,1_banyo,dusuk,yok,dusuk,orta,orta,yuksek,yok,1_5_Milyon_TL_Alti
Van,Ipekyolu,Satilik,0,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,bilinmiyor,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Batman,Merkez,Satilik,1_5_arasi,1,bilinmiyor,bilinmiyor,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,4_oda,alcak_1_3_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,5_7_Bucuk_Milyon_TL_Arasi
Kars,Merkez,Satilik,1_5_arasi,En_Ust_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,normal,bilinmiyor,normal,75_100_m2,3_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,orta,orta,yuksek,yok,2_3_Milyon_TL_Arasi
Diyarbakir,Baglar,Satilik,0,4,Merkezi,bilinmiyor,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,normal,iyi,75_100_m2,3_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Siirt,Merkez,Satilik,6_10_arasi,4,Kombi,bilinmiyor,yok,var,var,var,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,bilinmiyor,kotu,150_200_m2,4_oda,yuksek_8_15_kat,2_banyo,yok,yok,yok,dusuk,dusuk,dusuk,yok,3_4_Milyon_TL_Arasi
Agri,Merkez,Satilik,11_15_arasi,3,Kombi,bilinmiyor,yok,var,var,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,normal,normal,kotu,150_200_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,dusuk,orta,orta,yok,yok,2_3_Milyon_TL_Arasi
Van,Edremit,Satilik,6_10_arasi,1,Kombi,bilinmiyor,yok,var,var,var,yok,yok,var,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,normal,normal,bilinmiyor,200_300_m2,4_oda,orta_4_7_kat,2_banyo,dusuk,yok,dusuk,orta,dusuk,orta,yok,4_5_Milyon_TL_Arasi
Van,Gevas,Satilik,0,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,var,var,yok,yok,yok,kademe_6,bilinmiyor,normal,bilinmiyor,150_200_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,orta,yok,4_5_Milyon_TL_Arasi
Van,Ercis,Satilik,6_10_arasi,2,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,yok,yok,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,iyi,normal,150_200_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Van,Edremit,Satilik,11_15_arasi,Yuksek_Giris,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,yok,yok,var,var,yok,yok,var,yok,yok,var,yok,yok,yok,var,yok,yok,yok,yok,var,yok,yok,var,yok,yok,yok,yok,kademe_6,kotu,bilinmiyor,bilinmiyor,100_125_m2,4_oda,orta_4_7_kat,1_banyo,dusuk,yok,yok,dusuk,orta,yuksek,yok,1_5_2_Milyon_TL_Arasi
Mardin,Kiziltepe,Satilik,1_5_arasi,7,Kombi_Dogalgaz,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,5_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Diyarbakir,Silvan,Satilik,6_10_arasi,4,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,iyi,bilinmiyor,200_300_m2,5_oda,yuksek_8_15_kat,2_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,5_7_Bucuk_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,0,4,Kombi,bilinmiyor,yok,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,normal,iyi,75_100_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,dusuk,yok,3_4_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,0,1,Yerden_Isitma,bilinmiyor,yok,var,var,var,yok,var,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,iyi,normal,bilinmiyor,50_75_m2,2_oda,orta_4_7_kat,1_banyo,dusuk,yok,dusuk,orta,yuksek,dusuk,yok,1_5_2_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,6_10_arasi,6,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,normal,normal,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,11_15_arasi,4,Soba,bilinmiyor,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,bilinmiyor,kotu,50_75_m2,2_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_Milyon_TL_Alti
Van,Ipekyolu,Satilik,21_25_arasi,Bodrum,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,normal,bilinmiyor,150_200_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
Mardin,Midyat,Satilik,0,Ara_Kat,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,normal,normal,kotu,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,dusuk,yuksek,yok,3_4_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,0,5,Kombi_Dogalgaz,bilinmiyor,yok,var,yok,var,yok,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,normal,bilinmiyor,100_125_m2,3_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Diyarbakir,Kayapinar,Satilik,11_15_arasi,6,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,iyi,iyi,iyi,150_200_m2,4_oda,yuksek_8_15_kat,1_banyo,yok,yok,orta,orta,dusuk,yuksek,yok,3_4_Milyon_TL_Arasi
Batman,Merkez,Satilik,21_25_arasi,bilinmiyor,Soba,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,kotu,normal,bilinmiyor,150_200_m2,4_oda,alcak_1_3_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,1_5_2_Milyon_TL_Arasi
Mardin,Kiziltepe,Satilik,1_5_arasi,bilinmiyor,isitma_yok_komur_odun,bilinmiyor,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,6_oda,alcak_1_3_kat,3_banyo_ve_ustu,yok,yok,yok,dusuk,yok,yok,yok,4_5_Milyon_TL_Arasi
Van,Edremit,Satilik,6_10_arasi,Giris,Kombi,bilinmiyor,yok,var,var,var,yok,yok,var,yok,var,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,var,yok,yok,kademe_6,iyi,normal,bilinmiyor,200_300_m2,4_oda,orta_4_7_kat,3_banyo_ve_ustu,dusuk,yok,dusuk,orta,yuksek,yuksek,yok,4_5_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,21_25_arasi,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,var,yok,yok,yok,kademe_6,normal,normal,kotu,300_m2_ve_ustu,7_oda_ve_ustu,orta_4_7_kat,2_banyo,dusuk,yok,yok,dusuk,yuksek,yuksek,yok,3_4_Milyon_TL_Arasi
Diyarbakir,Kayapinar,Satilik,0,5,Merkezi,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,normal,75_100_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,yok,yok,dusuk,orta,yok,yok,3_4_Milyon_TL_Arasi
Gumushane,Merkez,Satilik,16_20_arasi,4,Kombi,bilinmiyor,yok,var,var,var,yok,var,var,var,var,yok,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,150_200_m2,5_oda,yuksek_8_15_kat,1_banyo,dusuk,yok,dusuk,orta,orta,orta,yok,7_Bucuk_10_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,6_10_arasi,5,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,normal,normal,normal,150_200_m2,4_oda,orta_4_7_kat,1_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Van,Ipekyolu,Satilik,1_5_arasi,1,Kombi_Dogalgaz,bilinmiyor,yok,var,var,var,var,var,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,iyi,normal,iyi,100_125_m2,7_oda_ve_ustu,orta_4_7_kat,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,3_4_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,0,1,Kombi,bilinmiyor,yok,var,var,var,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,normal,100_125_m2,3_oda,yuksek_8_15_kat,1_banyo,dusuk,yok,dusuk,orta,yuksek,orta,yok,2_3_Milyon_TL_Arasi
Batman,Merkez,Satilik,31_ve_uzeri,Bahce,Soba,bilinmiyor,yok,var,yok,var,yok,var,var,var,var,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,var,yok,yok,yok,yok,kademe_6,bilinmiyor,bilinmiyor,bilinmiyor,200_300_m2,4_oda,bilinmiyor,2_banyo,yok,dusuk,yok,dusuk,orta,orta,yok,2_3_Milyon_TL_Arasi
Mardin,Artuklu,Satilik,16_20_arasi,Bahce,Soba,bilinmiyor,yok,var,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,kademe_6,kotu,iyi,iyi,125_150_m2,4_oda,bilinmiyor,2_banyo,yok,yok,yok,dusuk,yok,yok,yok,2_3_Milyon_TL_Arasi
